BEAUVAIS-TILLE;BIARRITZ-BAYONNE-ANGLET;BORDEAUX-MERIGNAC;LILLE-LESQUIN;LYON-SAINT-EXUPERY;MARSEILLE-PROVENCE;NANTES-ATLANTIQUE;NICE-COTE-D'AZUR;PARIS-ORLY;ROUEN-VALLEE-DE-SEINE;STRASBOURG-ENTZHEIM;TOULOUSE-BLAGNAC;TOURS-VAL-DE-LOIRE
0;718.55;549.55;148.55;457.55;727.55;364.55;750.55;66.55;71.55;424.55;650.55;249.55
718.55;0;170.55;866.55;565.55;560.55;415.55;711.55;657.55;693.55;915.55;242.55;469.55
549.55;170.55;0;696.55;435.55;505.55;505.55;638.55;501.55;527.55;759.55;212.55;300.55
151.55;869.55;700.55;0;552.55;839.55;507.55;830.55;200.55;192.55;402.55;784.55;397.55
457.55;565.55;435.55;552.55;0;277.55;515.55;299.55;392.55;496.55;384.55;359.55;365.55
727.55;560.55;505.55;839.55;277.55;0;694.55;159.55;648.55;758.55;616.55;324.55;324.55
364.55;415.55;505.55;507.55;515.55;694.55;0;791.55;343.55;315.55;710.55;465.55;170.55
750.55;711.55;638.55;830.55;299.55;159.55;791.55;0;687.55;794.55;544.55;469.55;656.55
66.55;657.55;501.55;200.55;392.55;648.55;343.55;687.55;0;103.55;389.55;585.55;204.55
71.55;693.55;527.55;192.55;496.55;758.55;315.55;794.55;103.55;0;495.55;650.55;230.55
424.55;915.55;759.55;402.55;384.55;616.55;710.55;544.55;389.55;495.55;0;737.55;542.55
650.55;242.55;212.55;784.55;359.55;324.55;465.55;469.55;585.55;650.55;737.55;0;425.55
249.55;469.55;300.55;397.55;365.55;324.55;170.55;656.55;204.55;230.55;542.55;425.55;0
