BEAUVAIS-TILLE;BIARRITZ-BAYONNE-ANGLET;BORDEAUX-MERIGNAC;LILLE-LESQUIN;LYON-SAINT-EXUPERY;MARSEILLE-PROVENCE;NANTES-ATLANTIQUE;NICE-COTE-D'AZUR;PARIS-ORLY;ROUEN-VALLEE-DE-SEINE;STRASBOURG-ENTZHEIM;TOULOUSE-BLAGNAC;TOURS-VAL-DE-LOIRE
0;868;670;199;555;864;467;1022;91;86;578;761;322
868;0;199;999;749;705;546;863;784;853;1135;312;529
670;199;0;800;556;645;348;803;585;654;942;245;350
199;999;800;0;681;990;600;1148;220;256;525;894;455
555;749;556;681;0;314;686;471;492;595;487;538;489
864;705;645;990;314;0;994;199;776;904;801;404;797
467;546;348;600;686;994;0;1150;385;386;865;585;216
1022;863;803;1148;471;199;1150;0;934;1061;785;562;1039
91;784;585;220;492;776;385;934;0;135;491;676;238
86;853;654;256;595;904;386;1061;135;0;638;786;310
578;1135;942;525;487;801;865;785;491;638;0;638;786
761;312;245;894;538;404;585;562;676;786;939;0;939
322;529;350;455;489;797;216;1039;238;310;720;587;0
