;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
emprunt carbonne ;vehicule;;;;;;;;;;;;;;;;;;;;;;;
220;avion;;;;;;;;;;;;;;;;;;;;;;;
125;voiture;;;;;;;;;;;;;;;;;;;;;;;
https://www.coordonnees-gps.fr/distance;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Empreinte carbonne avion;BEAUVAIS-TILLE;BIARRITZ-BAYONNE-ANGLET;BORDEAUX-MERIGNAC;LILLE-LESQUIN;LYON-SAINT-EXUPERY;MARSEILLE-PROVENCE;NANTES-ATLANTIQUE;NICE-COTE-D'AZUR;PARIS-ORLY;ROUEN-VALLEE-DE-SEINE;STRASBOURG-ENTZHEIM;TOULOUSE-BLAGNAC;TOURS-VAL-DE-LOIRE;;;;;;;;;;;
BEAUVAIS-TILLE;0;157960;120780;32560;100540;159940;80080;165000;14520;15620;93280;143000;54780;;;;;;;;;;;
BIARRITZ-BAYONNE-ANGLET;157960;0;37400;190520;124300;123200;91300;156420;144540;152460;201300;53240;103180;;;;;;;;;;;
BORDEAUX-MERIGNAC;120780;37400;0;153120;95700;111100;111100;140360;110220;115940;166980;46640;66000;;;;;;;;;;;
LILLE-LESQUIN;33220;191180;154000;0;121440;184580;111540;182600;44000;42240;88440;172480;87340;;;;;;;;;;;
LYON-SAINT-EXUPERY;100540;124300;95700;121440;0;60940;113300;65780;86240;109120;84480;78980;80300;;;;;;;;;;;
MARSEILLE-PROVENCE;159940;123200;111100;184580;60940;0;152680;34980;142560;166760;135520;71280;71280;;;;;;;;;;;
NANTES-ATLANTIQUE;80080;91300;111100;111540;113300;152680;0;174020;75460;69300;156200;102300;37400;;;;;;;;;;;
NICE-COTE-D'AZUR;165000;156420;140360;182600;65780;34980;174020;0;151140;174680;119680;103180;144320;;;;;;;;;;;
PARIS-ORLY;14520;144540;110220;44000;86240;142560;75460;151140;0;22660;85580;128700;44880;;;;;;;;;;;
ROUEN-VALLEE-DE-SEINE;15620;152460;115940;42240;109120;166760;69300;174680;22660;0;108900;143000;50600;;;;;;;;;;;
STRASBOURG-ENTZHEIM;93280;201300;166980;88440;84480;135520;156200;119680;85580;108900;0;162140;119240;;;;;;;;;;;
TOULOUSE-BLAGNAC;143000;53240;46640;172480;78980;71280;102300;103180;128700;143000;162140;0;93500;;;;;;;;;;;
TOURS-VAL-DE-LOIRE;54780;103180;66000;87340;80300;71280;37400;144320;44880;50600;119240;93500;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
distance avion;BEAUVAIS-TILLE;BIARRITZ-BAYONNE-ANGLET;BORDEAUX-MERIGNAC;LILLE-LESQUIN;LYON-SAINT-EXUPERY;MARSEILLE-PROVENCE;NANTES-ATLANTIQUE;NICE-COTE-D'AZUR;PARIS-ORLY;ROUEN-VALLEE-DE-SEINE;STRASBOURG-ENTZHEIM;TOULOUSE-BLAGNAC;TOURS-VAL-DE-LOIRE;;;;;;;;;;;
BEAUVAIS-TILLE;0;718;549;148;457;727;364;750;66;71;424;650;249;;;;;;;;;;;
BIARRITZ-BAYONNE-ANGLET;718;0;170;866;565;560;415;711;657;693;915;242;469;;;;;;;;;;;
BORDEAUX-MERIGNAC;549;170;0;696;435;505;505;638;501;527;759;212;300;;;;;;;;;;;
LILLE-LESQUIN;151;869;700;0;552;839;507;830;200;192;402;784;397;;;;;;;;;;;
LYON-SAINT-EXUPERY;457;565;435;552;0;277;515;299;392;496;384;359;365;;;;;;;;;;;
MARSEILLE-PROVENCE;727;560;505;839;277;0;694;159;648;758;616;324;324;;;;;;;;;;;
NANTES-ATLANTIQUE;364;415;505;507;515;694;0;791;343;315;710;465;170;;;;;;;;;;;
NICE-COTE-D'AZUR;750;711;638;830;299;159;791;0;687;794;544;469;656;;;;;;;;;;;
PARIS-ORLY;66;657;501;200;392;648;343;687;0;103;389;585;204;;;;;;;;;;;
ROUEN-VALLEE-DE-SEINE;71;693;527;192;496;758;315;794;103;0;495;650;230;;;;;;;;;;;
STRASBOURG-ENTZHEIM;424;915;759;402;384;616;710;544;389;495;0;737;542;;;;;;;;;;;
