BEAUVAIS-TILLE;BIARRITZ-BAYONNE-ANGLET;BORDEAUX-MERIGNAC;LILLE-LESQUIN;LYON-SAINT-EXUPERY;MARSEILLE-PROVENCE;NANTES-ATLANTIQUE;NICE-COTE-D'AZUR;PARIS-ORLY;ROUEN-VALLEE-DE-SEINE;STRASBOURG-ENTZHEIM;TOULOUSE-BLAGNAC;TOURS-VAL-DE-LOIRE
0;157960;120780;32560;100540;159940;80080;165000;14520;15620;93280;143000;54780
157960;0;37400;190520;124300;123200;91300;156420;144540;152460;201300;53240;103180
120780;37400;0;153120;95700;111100;111100;140360;110220;115940;166980;46640;66000
33220;191180;154000;0;121440;184580;111540;182600;44000;42240;88440;172480;87340
100540;124300;95700;121440;0;60940;113300;65780;86240;109120;84480;78980;80300
159940;123200;111100;184580;60940;0;152680;34980;142560;166760;135520;71280;71280
80080;91300;111100;111540;113300;152680;0;174020;75460;69300;156200;102300;37400
165000;156420;140360;182600;65780;34980;174020;0;151140;174680;119680;103180;144320
14520;144540;110220;44000;86240;142560;75460;151140;0;22660;85580;128700;44880
15620;152460;115940;42240;109120;166760;69300;174680;22660;0;108900;143000;50600
93280;201300;166980;88440;84480;135520;156200;119680;85580;108900;0;162140;119240
143000;53240;46640;172480;78980;71280;102300;103180;128700;143000;162140;0;93500
54780;103180;66000;87340;80300;71280;37400;144320;44880;50600;119240;93500;0
